POSTCODE,POSTAL_COMMERCIAL_PROPERTIES,ALL_COMMERCIAL,RESIDENTIAL_PROPERTIES
NE22 6EP,0,0,4
NE63 0PQ,19,19,24
NE63 9JU,0,0,27
NE62 5BW,0,0,17
NE63 9DY,0,0,31
NE63 0ND,1,1,16
NE65 0UJ,1,2,0
NE61 6AW,17,17,6
NE63 8NA,0,0,74
NE22 6AT,0,0,18
TD12 4WB,0,0,13
NE64 6PS,0,0,18
NE61 2HD,0,0,43
NE62 5TL,0,0,43
NE23 6TQ,2,2,19
NE63 0NE,0,0,9
NE22 5YX,0,0,42
NE48 3EL,0,0,1
NE47 6JT,1,1,9
NE62 5PA,0,0,10
NE61 5QD,0,0,22
NE62 5JW,0,0,13
NE63 9GB,0,0,31
NE62 5UF,3,3,10
NE22 5DE,1,1,17
NE61 6QA,1,2,33
NE44 6EH,0,0,6
NE61 1AU,0,0,2
NE23 6XJ,0,0,8
NE61 6PH,0,0,9
NE63 9FG,0,0,48
NE22 6NJ,0,0,16
NE63 0QP,0,0,50
NE61 5RR,0,0,4
NE65 0GZ,1,1,11
NE22 7DL,3,3,0
NE23 1WH,3,3,0
NE24 4RF,7,9,0
NE48 2AP,1,2,21
NE20 9TT,0,0,25
NE63 8XY,0,0,14
NE47 9BX,0,0,12
NE22 5UB,32,35,6
NE61 1NS,48,49,0
NE42 6AT,0,0,22
NE42 6NG,0,0,23
NE24 4LU,0,0,14
NE66 3PP,4,4,4
NE66 3AE,0,0,4
NE61 4JU,0,0,3
NE66 2AL,0,0,4
NE66 1LW,0,0,48
NE61 5HN,2,2,15
NE66 4HT,1,1,4
NE61 6HA,0,0,11
NE61 5UQ,0,0,5
NE47 8DE,0,0,3
NE47 8HA,2,2,8
NE24 5NJ,0,0,33
NE46 4HN,1,1,4
NE46 4EP,0,0,2
NE63 9FS,0,0,8
NE64 6HA,0,0,25
NE46 2NN,2,2,17
NE49 0NU,0,0,10
NE63 0XH,0,0,19
NE47 0DH,0,0,2
NE63 9EH,0,0,22
NE61 1JF,0,0,39
NE24 1QS,2,2,31
NE46 1SP,0,0,4
NE49 9EA,0,0,9
NE64 6HT,0,0,38
TD15 1DU,5,5,22
NE23 1AJ,0,0,41
NE62 5QH,0,0,16
NE61 6YR,0,0,14
NE66 3BL,0,0,1
NE61 6YH,0,0,20
NE62 5TY,0,0,21
NE64 6DF,0,0,6
NE62 5LG,0,0,30
NE22 5HP,0,0,30
NE63 9NN,0,0,15
NE64 6RG,1,1,10
NE71 6AL,0,1,17
NE71 6JH,2,2,8
NE71 6NR,5,8,14
NE61 4BN,0,0,9
NE22 7HJ,0,0,14
NE63 9BS,0,0,52
NE63 0EH,3,3,2
NE19 1LP,1,1,0
NE22 6BH,0,0,13
NE20 0BD,2,3,5
NE70 7JL,1,1,7
NE70 7JH,4,4,1
NE65 9BY,0,0,4
NE65 9PP,11,11,24
NE63 0BH,0,0,26
NE22 5QD,0,0,39
NE63 8EY,0,0,13
NE22 5SP,0,0,23
NE22 6BY,0,0,26
NE20 0SY,0,1,25
NE22 6NG,0,0,15
NE47 6JG,7,7,13
NE70 7PN,5,6,12
NE63 9RU,0,0,9
NE63 9DG,0,0,29
NE22 6DL,0,0,16
NE63 8LS,0,0,11
NE22 6DX,0,0,48
NE64 6SR,0,0,32
NE64 6SY,0,0,7
NE66 2SH,5,5,2
NE63 9SB,0,0,19
NE63 0DF,0,0,21
NE63 0LH,0,0,24
NE63 8EF,0,0,32
NE63 9TS,0,0,45
NE22 5BL,1,1,10
TD12 4QW,0,0,6
NE62 5NL,0,0,22
NE71 6HD,1,1,0
NE62 5SA,0,0,32
NE62 5SG,0,0,40
NE63 8AN,0,0,18
NE63 8BH,0,0,10
NE22 5PW,0,0,46
NE20 9LQ,0,0,21
NE65 0YJ,0,0,3
NE23 3GH,0,0,10
NE62 5YG,0,0,27
NE66 2BQ,2,2,4
NE62 5DP,0,0,22
NE22 7JS,0,0,10
NE63 8QA,0,0,8
NE63 8JF,0,0,27
NE67 5AJ,5,5,14
NE61 4NU,1,1,21
NE47 7JD,0,0,4
NE68 7RE,15,15,8
NE62 5HU,0,0,7
TD15 1HR,2,2,26
NE61 1BH,13,13,10
NE23 7TE,0,0,31
NE23 7TF,0,0,60
NE66 1AQ,0,0,1
NE62 5EW,0,0,6
NE22 6AW,0,0,7
NE62 5QW,1,1,1
NE62 5NB,1,1,15
NE64 6PR,0,0,13
NE65 8AT,1,1,1
NE47 9QS,2,2,18
NE24 1LQ,11,12,0
NE71 6XF,1,2,4
NE66 1UX,1,1,0
TD15 1HJ,1,1,0
NE65 9EF,2,2,33
NE63 9EX,1,1,25
NE63 8LR,0,0,11
NE61 6LB,1,1,9
NE22 6BL,0,0,12
NE63 9RP,0,0,18
TD15 1BH,16,17,22
NE66 3EL,7,7,3
NE65 8AY,2,2,3
NE63 9PJ,0,0,8
NE63 9QT,0,0,20
NE61 2HG,0,0,21
NE61 3QL,0,0,6
NE63 8HG,7,7,24
NE62 5ED,0,0,9
NE63 8AJ,0,0,10
NE62 5TS,0,0,16
NE63 9AY,0,0,14
NE63 0QT,0,0,24
TD12 4UN,0,0,2
NE64 6DS,0,0,8
NE62 5EJ,0,0,12
NE63 0BB,0,0,19
NE22 5TD,0,0,20
NE20 0FQ,0,0,18
TD15 2LF,0,0,5
NE63 9TU,0,0,21
NE63 9TY,0,0,16
NE63 8DF,0,0,30
NE65 8DZ,1,1,8
NE24 5TH,0,0,12
NE65 8RW,2,4,18
NE47 5DQ,12,15,0
TD15 2DS,1,1,0
NE61 6SU,0,0,21
NE63 0LQ,0,0,27
NE23 1WA,21,21,0
NE22 5HF,0,0,24
NE47 5LG,0,0,5
NE61 4EG,5,5,10
NE61 3DG,2,2,2
TD15 2LB,7,8,48
NE63 9LX,0,0,14
NE62 5XZ,0,0,36
NE63 9NJ,0,0,14
NE62 5SX,0,0,2
NE62 5NY,0,0,2
NE65 0YH,1,1,11
NE67 5AW,12,12,16
NE22 7BP,0,0,2
NE63 8JZ,0,0,30
NE63 9HJ,0,0,35
NE45 5TA,0,0,8
NE63 0HN,1,1,24
NE22 5QR,0,0,13
NE22 5EW,0,0,20
NE66 2LE,0,0,5
NE63 9NW,11,11,0
NE64 6DU,0,0,8
NE46 3JN,0,0,9
NE24 2RQ,1,1,31
DH8 9UB,2,2,8
NE23 3XT,0,0,42
NE19 1NP,8,10,50
NE19 2DQ,0,1,15
NE61 6SX,0,0,38
NE22 5YJ,0,0,38
NE66 3DW,4,5,3
NE62 5AN,0,0,30
NE65 0UN,3,3,13
NE66 2XN,3,3,13
NE20 9ER,0,0,12
NE61 5EF,0,0,3
NE23 7EN,0,0,2
NE46 4RF,0,0,6
NE62 5EY,0,0,3
NE61 3LT,0,0,28
NE48 2RG,1,1,2
NE48 3HG,1,1,2
NE48 3PS,1,1,2
NE23 3JG,0,0,7
NE64 6HZ,1,1,17
NE64 6JA,0,0,14
NE19 1BD,1,1,0
NE49 0LP,1,1,5
NE22 6ES,0,0,9
NE46 4PL,1,1,9
NE47 6BZ,0,0,4
NE62 5YR,0,0,31
NE47 7DB,0,0,3
NE22 5AR,0,0,40
NE63 9LU,1,1,10
NE63 8LA,0,0,21
NE66 3QF,1,2,0
NE24 5SU,7,8,0
NE63 9SF,0,0,15
NE47 6HN,0,0,1
NE23 8JL,0,0,18
NE61 2JP,0,0,42
NE61 2BJ,0,0,5
NE22 6NL,0,0,16
NE47 6NN,3,4,2
NE24 4NB,0,0,24
NE24 3SS,0,0,17
NE64 6NP,0,0,3
NE61 2XD,0,0,9
NE63 8LE,0,0,21
NE44 6BH,4,4,4
NE62 5YD,0,0,27
NE66 5RZ,2,3,8
NE22 5QB,0,0,56
NE49 0QL,0,0,7
NE19 2LG,0,0,5
NE22 6BB,0,0,2
NE44 6HT,0,0,22
NE18 0QG,1,1,11
NE45 5RU,0,1,8
NE63 8AB,1,2,26
NE64 6AS,0,2,14
NE69 7AG,6,6,2
NE61 3LA,0,0,35
NE63 9SY,0,0,8
NE24 3SD,2,2,28
NE65 9BT,1,1,2
NE64 6DE,0,0,14
NE71 6ER,0,0,3
NE71 6ET,0,0,4
NE45 5LS,0,0,8
NE45 5LU,0,0,1
NE64 6RL,0,0,30
NE22 7DH,16,17,0
NE42 5ET,3,3,46
NE20 0EU,0,1,16
NE49 9AQ,14,15,12
NE45 5RB,0,0,3
NE65 7DP,0,0,12
NE46 4QZ,0,0,39
NE61 3SQ,0,0,3
NE62 5HL,0,0,2
NE20 9PS,9,11,3
NE61 5AW,1,1,25
NE65 7YS,0,0,22
NE61 1TS,0,0,10
NE61 1UG,0,0,10
NE19 2BH,0,0,3
NE61 5UP,0,0,10
NE20 9NZ,3,3,0
NE63 0SY,0,0,35
NE24 3XR,0,0,23
NE24 3XX,0,0,12
NE63 0BF,3,3,0
NE61 3SZ,0,0,27
NE49 9HS,0,0,10
NE22 5RA,0,0,20
NE49 9EW,0,0,6
NE66 4AU,1,1,7
NE65 7RP,0,0,6
NE61 2PP,1,1,1
NE63 8LG,0,0,14
NE63 0JR,0,0,21
NE65 0XE,3,3,9
NE65 0LU,6,6,4
TD15 2SD,5,5,9
NE66 5RA,5,5,9
NE23 6BE,0,0,10
NE47 9AU,0,0,22
NE61 2SX,0,0,9
NE22 7AF,0,0,10
NE19 1ND,0,0,3
NE22 6DB,0,0,4
NE24 2AY,4,4,11
NE65 0EF,3,3,27
NE63 9LP,1,1,0
NE46 4LY,1,1,13
NE64 6JG,0,0,28
NE61 2PN,0,0,19
NE61 2PH,0,0,16
NE61 2JX,0,0,22
NE25 0PY,0,0,58
NE22 7HB,0,0,26
NE63 0AZ,0,0,13
NE61 2PJ,0,0,10
NE66 3DQ,0,0,15
TD15 2DY,0,0,11
NE63 9QL,0,0,26
NE23 3HZ,0,0,20
NE22 6JX,3,4,0
NE66 2HY,0,0,41
NE24 1RU,0,0,18
NE71 6TF,1,1,2
NE22 5YP,0,0,31
NE24 5BW,1,1,15
NE62 5HT,2,2,12
TD15 2ND,0,1,5
NE62 5BB,0,0,17
CA8 7PB,1,1,7
NE61 1UU,0,0,14
NE24 3RQ,0,0,5
NE61 2AJ,0,0,17
NE61 1UP,0,0,7
NE46 4SP,0,0,6
NE62 5XP,0,0,3
NE23 7XR,0,0,23
NE61 3LY,0,0,1
NE23 2BZ,0,0,19
NE64 6UN,0,0,3
NE22 6DR,0,0,6
NE63 9NH,0,0,13
NE66 5NG,0,0,11
NE43 7TW,1,1,19
NE18 0QN,0,0,2
NE23 6AD,0,0,18
NE22 7EL,0,0,12
NE22 5ED,0,0,18
NE46 2DE,2,2,13
TD15 2QN,0,0,7
DH8 9LJ,0,0,7
NE23 7TL,0,0,6
NE42 6BW,1,1,2
NE66 2AS,0,0,4
NE66 4PL,0,0,9
NE24 1EW,0,0,35
NE24 3SU,0,0,33
NE22 5LH,0,0,6
TD12 4XN,0,0,19
NE24 4DE,0,0,56
NE61 2DG,0,0,7
NE49 0DY,0,0,5
NE45 5JE,0,0,38
NE61 1YJ,2,2,13
NE20 0SB,0,0,1
NE24 2SQ,0,0,48
NE68 7TB,2,2,21
NE71 6BU,6,6,11
NE47 0DL,0,0,5
NE24 3TR,0,0,14
NE49 0JJ,0,0,2
NE24 3PJ,0,0,1
NE24 1LL,11,11,2
NE61 2RU,0,0,14
NE61 2SG,0,0,28
NE24 2JR,0,0,13
NE48 3BE,0,0,1
NE47 5LL,4,4,2
NE46 4EJ,0,0,3
NE46 4NA,0,0,2
NE48 3LS,3,5,9
NE63 0UB,0,0,36
NE63 0DH,0,0,27
NE68 7YT,4,4,23
TD15 1SZ,1,1,8
NE22 7DA,0,1,1
NE66 3EE,1,1,7
NE46 4HH,0,0,3
TD15 2EN,4,4,11
NE25 0RD,1,1,16
NE22 6EQ,1,1,0
NE45 5QT,0,1,1
NE66 3NF,3,3,2
NE65 0WR,1,1,11
NE65 0AT,13,13,28
NE24 5AG,0,0,40
NE24 5AE,0,0,39
NE26 4JS,1,1,9
NE22 7EE,0,0,10
NE66 3PA,1,1,2
TD15 1HT,3,3,8
NE66 4TJ,0,0,6
NE24 3LA,0,0,29
NE24 5HF,0,0,31
NE66 3HF,0,0,5
NE66 3PQ,1,1,3
NE46 3PT,7,8,4
NE26 4JU,0,0,9
TD15 2AB,2,3,0
NE61 4EB,0,0,6
NE61 1NB,6,6,0
NE47 9AW,0,0,5
NE47 9DQ,1,1,5
NE61 5SN,2,2,7
NE65 7PG,1,1,0
NE63 9HN,1,1,10
TD15 2NS,9,10,68
NE66 4AS,0,0,17
NE19 1BL,1,1,5
NE47 9HR,1,1,2
NE24 5HN,0,0,2
NE63 9XZ,0,0,3
NE71 6AB,0,0,1
NE46 1SH,0,0,3
NE48 3DL,0,0,2
NE24 1JJ,1,1,20
NE23 7EL,0,0,7
NE23 6UN,0,0,44
NE65 7NB,1,1,1
NE22 7EP,0,0,8
NE46 1BJ,0,0,8
NE63 8DY,0,0,2
NE61 5SR,0,0,40
NE42 6JX,0,0,26
NE49 0JA,0,0,2
NE49 0DZ,0,0,6
NE62 5YE,0,0,16
NE49 0AA,0,0,9
NE45 5HP,0,0,6
NE46 4LE,0,0,18
NE66 4PQ,0,0,1
NE61 2PW,0,0,3
NE24 3PY,0,0,25
NE61 1AS,0,0,8
NE24 3HF,1,1,35
NE47 9SW,1,1,5
NE66 4AJ,0,0,10
NE23 2SG,1,1,12
NE23 1DU,0,0,13
NE66 2RP,3,3,1
NE65 0DJ,6,6,1
NE24 4QW,0,0,34
NE42 6EE,1,1,6
NE24 3TP,0,0,7
NE61 6LZ,0,0,12
NE24 4PY,0,0,10
NE71 6AQ,1,1,20
NE24 2PJ,0,0,3
NE66 3AN,0,0,10
NE20 0JH,0,0,6
NE20 0JQ,0,0,5
NE24 3HP,0,0,5
NE24 2RU,0,0,25
NE19 1AZ,0,0,4
NE24 1HN,0,0,38
NE24 5LW,0,0,30
NE65 0HD,1,1,0
NE24 5PJ,0,0,32
NE24 5DH,0,0,12
NE65 9HT,0,0,2
NE25 0BN,5,5,11
NE24 4PR,0,0,24
NE24 3PX,0,0,34
NE24 3ED,0,1,36
NE23 7HQ,0,0,47
NE46 4QP,0,0,2
NE71 6LD,4,4,0
NE68 7UL,3,3,4
NE47 9QP,0,0,3
NE46 4RA,0,0,3
NE46 4PN,0,0,6
NE41 8AH,1,1,7
NE24 3TW,0,0,23
NE24 1NU,0,0,26
TD15 2EP,0,0,19
NE24 5DU,0,0,22
NE24 5SL,0,0,16
NE24 5AT,0,0,24
NE24 4QJ,0,0,32
TD15 2RN,0,0,10
NE24 5EU,0,0,38
NE23 2QL,0,0,10
NE44 6AX,0,0,2
NE61 3LQ,0,0,9
NE24 4AR,0,0,13
NE24 4SA,0,0,9
NE20 9SJ,17,17,0
NE24 1JB,0,0,49
NE61 2XW,0,0,12
NE61 2TT,0,0,9
NE66 1SH,0,0,2
NE22 7DW,5,5,0
NE24 4JA,0,0,45
NE61 2HE,0,0,6
NE25 0DG,12,13,33
NE47 7AA,0,0,6
NE61 5DT,1,1,0
NE61 5EA,0,0,8
NE24 5TZ,0,0,13
NE23 7EB,0,0,0
NE23 8EH,4,4,1
NE24 5EZ,2,2,5
NE22 6HZ,0,0,11
NE62 5XB,1,1,14
NE42 6AQ,1,1,11
NE48 2AS,3,3,2
TD15 2HQ,1,1,25
NE61 2QN,0,0,58
NE63 8ET,0,0,10
NE20 9SW,1,1,0
NE45 5RL,1,1,9
NE24 5JL,0,0,37
NE66 1XT,4,4,8
NE24 3TQ,0,0,11
NE65 7HF,2,2,9
NE25 0QH,3,3,1
NE47 7EQ,0,0,14
NE46 4LJ,0,0,6
NE47 5BA,0,0,3
NE24 4DP,0,0,22
NE71 6BZ,3,3,2
NE22 5HT,0,0,6
NE24 4BP,0,0,11
NE46 4AG,1,1,33
NE46 4EU,3,3,5
NE20 9RR,0,0,28
NE23 2SP,0,0,3
NE24 5PX,0,0,12
NE49 9NN,2,2,8
NE24 3QR,0,0,34
NE23 6QR,1,1,0
NE48 2HR,1,1,3
NE48 2JZ,0,0,3
NE24 4JF,2,2,5
NE24 4JQ,0,0,4
NE46 4TT,0,0,3
NE24 1EP,0,0,7
NE24 2NQ,0,0,9
NE24 2AL,0,0,1
NE47 7JA,0,0,9
NE47 6EY,0,0,3
NE66 5PP,1,1,18
NE47 7JT,1,1,5
NE22 6BR,0,1,49
NE70 7NE,2,2,4
NE47 7JR,1,1,2
NE66 3ST,0,1,11
NE48 4BZ,0,0,1
NE66 3BN,0,0,16
TD15 1PR,2,2,2
NE24 3PU,0,0,57
NE24 5NA,1,1,27
NE48 3LX,0,1,20
TD15 2TH,0,0,9
NE67 5BQ,6,7,7
NE24 4TP,0,0,21
NE66 3UX,5,6,16
NE71 6RP,0,0,47
NE23 1EX,0,0,40
TD12 4SQ,3,3,7
NE24 1BQ,11,12,0
NE24 2LG,0,0,4
NE61 4JT,1,1,12
NE23 6RA,7,7,6
TD15 1LS,0,0,12
TD15 1NL,0,0,7
TD12 4TJ,5,6,18
NE61 1DN,1,1,1
NE24 4NY,0,0,19
NE24 3UZ,0,0,47
NE24 2JP,0,0,14
NE61 2FT,0,0,3
NE61 2FW,0,0,0
NE61 2ZJ,0,0,8
NE61 2ZH,0,0,0
NE61 5YL,2,2,1
NE25 0QE,0,0,36
NE62 5BZ,4,4,0
NE20 9NN,0,1,20
NE47 6JQ,4,4,2
NE20 0EE,1,4,6
NE43 7UA,0,1,3
NE46 4SN,0,1,16
NE23 1RF,0,0,29
NE49 0PL,0,0,0
NE46 4BU,1,1,26
NE66 2DG,6,6,0
NE61 3XQ,0,0,2
NE66 3NB,0,0,22
NE18 0QX,0,0,4
NE24 2TA,0,0,16
NE61 5EG,2,2,13
NE65 7AQ,3,3,8
NE25 0QD,0,0,7
NE25 0FN,0,0,25
NE66 3TG,2,2,5
NE23 6TG,8,9,3
NE24 4SW,0,0,14
NE61 2GL,0,0,7
NE61 5BB,1,1,8
NE65 0NU,1,1,35
NE69 7AH,7,8,0
NE65 7PL,0,1,2
TD15 2RU,0,0,4
NE24 3RZ,0,0,3
NE24 5RF,2,3,17
NE68 7RB,7,7,3
TD15 2XY,0,0,9
NE61 1EL,0,0,2
NE24 1HG,2,2,11
NE24 4SN,0,0,28
NE24 1AX,4,4,0
NE23 8BW,0,0,15
NE24 1HU,0,0,20
NE61 2GF,0,0,25
NE61 2FL,0,0,10
NE19 2LF,0,0,6
NE20 9EW,0,0,41
NE61 2FN,0,0,13
NE66 3FG,0,0,8
NE24 4BF,0,0,24
NE24 2LA,2,2,2
NE61 6BS,0,0,19
NE65 8RG,2,3,2
NE61 6DB,0,0,10
NE43 7RA,0,0,12
TD15 2FA,0,0,54
NE66 1DE,0,0,20
NE24 4JB,0,0,25
NE65 0GT,0,0,6
NE61 3FP,0,0,30
NE24 5EH,0,0,51
NE42 5BP,1,1,8
NE22 5BS,0,0,18
NE61 5DH,0,0,16
NE66 1EU,0,0,5
NE66 1DB,0,0,14
NE23 6QJ,2,2,0
NE61 1BJ,4,4,3
NE65 0LN,1,1,2
NE44 6HU,0,0,12
NE65 9FA,1,1,29
TD15 1DQ,2,2,48
NE20 0DU,0,1,3
NE45 5DD,1,1,7
NE70 7EN,7,7,3
NE45 5SL,0,0,0
NE61 6FF,0,0,4
NE65 7YY,1,1,13
NE65 0UT,3,3,5
DH8 9PT,1,1,0
NE24 1NP,0,0,12
NE24 2AU,4,5,0
NE24 5AU,1,1,1
DH8 9RT,1,1,2
NE42 6LG,0,0,14
NE24 1DG,11,11,8
NE66 1DL,0,0,42
NE24 1NL,2,2,27
NE24 1HR,0,0,3
NE48 2DZ,0,0,4
DH8 9AZ,2,2,0
NE45 5AG,1,1,9
NE24 3JR,1,1,32
NE47 7AF,1,1,2
NE24 5JZ,0,0,22
NE23 2UP,0,0,13
NE61 5QW,0,0,33
NE23 1PL,0,0,18
NE46 3QF,0,2,7
NE24 3BZ,2,2,5
NE47 6NA,0,0,5
NE66 1JT,3,3,0
NE46 3QD,7,7,2
TD15 1DZ,1,1,0
NE68 7SB,4,4,7
TD15 2NJ,0,1,28
NE48 2SW,0,1,1
NE19 2BG,1,1,0
NE48 2BL,0,1,8
NE49 9BW,1,1,5
NE65 7RG,2,2,11
TD15 2WP,1,1,0
NE46 3NL,4,4,0
NE65 9QP,8,9,6
NE48 2JW,1,1,6
NE66 2QF,1,1,3
NE19 1TQ,0,0,1
NE49 0PG,0,0,1
NE61 5ND,10,10,0
NE48 2EN,2,2,0
NE61 1RH,1,1,1
NE66 1PQ,1,2,0
NE61 2LG,2,2,6
NE61 5TA,1,1,18
NE66 3BT,1,1,0
NE65 7UT,1,1,1
NE19 1NS,1,1,0
NE61 5DR,2,2,4
NE46 1ND,6,6,0
NE43 7LD,1,1,0
NE42 6HE,1,1,0
NE66 2SX,3,3,5
NE23 7TQ,2,2,7
NE49 0BZ,1,1,1
NE49 0AH,1,1,8
NE61 3XH,1,1,0
NE46 1EZ,3,4,0
NE46 1HJ,1,1,6
NE48 3DY,1,1,12
NE23 6QH,1,1,0
CA8 7PA,0,0,1
NE46 2BB,3,3,10
NE48 4AP,1,1,0
NE47 9JP,0,1,2
NE46 1PA,1,1,0
NE24 5DZ,0,0,17
NE22 7LX,1,1,0
NE24 4HE,1,1,6
NE66 2TA,0,0,7
NE61 3NQ,1,1,4
NE24 3DJ,0,0,20
NE24 3DL,1,1,15
TD15 1PL,2,2,19
NE61 2QT,1,1,7
NE23 6QF,2,2,1
NE64 6NL,0,1,6
NE48 2SQ,1,1,9
NE42 5NT,0,1,0
NE15 0EF,1,1,4
NE61 1YA,0,1,0
NE20 9NJ,1,1,0
NE49 9DE,4,4,6
NE22 5PL,1,1,3
NE71 6BD,4,4,6
NE41 8AB,4,4,7
NE20 9UH,1,1,29
NE61 6EJ,1,1,2
NE41 8JT,1,1,12
NE45 5DW,0,0,18
NE44 6EB,0,0,2
NE22 7AL,3,3,0
NE15 0BG,1,1,14
NE65 8XD,0,0,3
NE66 4XW,1,1,0
NE65 9NX,0,0,1
NE66 3HQ,4,4,8
NE61 2HS,1,1,6
NE66 1BW,0,0,17
NE66 2NQ,2,2,52
NE48 2TH,0,0,5
NE43 7HL,1,1,24
NE65 7LB,1,1,2
NE61 5JT,1,1,12
NE66 4AF,0,0,3
NE66 2RG,1,1,3
NE66 2TB,4,7,1
TD15 2EQ,1,1,0
NE23 6XD,1,1,0
NE45 5NT,1,1,0
NE46 1HR,0,0,2
NE65 7SR,1,1,6
TD15 2TZ,3,3,4
NE66 3XH,2,2,5
NE46 1YB,0,0,5
NE45 5HZ,0,0,21
NE48 1EG,2,2,2
NE47 6DG,0,0,4
NE43 7LR,0,0,8
NE47 9PT,2,2,0
NE66 1PE,1,1,3
CA8 7EP,0,0,7
NE23 2FL,0,0,30
NE66 3HB,2,2,2
NE49 9DY,0,0,2
TD15 2TE,0,0,15
NE19 1JX,1,1,4
NE48 2TQ,1,1,6
NE17 7AU,2,2,8
NE20 0JW,0,0,3
NE65 0EL,1,1,16
NE65 0SJ,0,0,42
NE64 6PP,0,0,1
TD15 2JU,0,0,72
NE61 6FN,1,1,38
NE65 7EU,1,1,2
NE24 5ST,0,0,16
NE24 4UA,0,0,40
NE24 5BE,0,0,11
TD15 2ER,0,0,63
NE63 9WN,0,0,5
NE48 3LE,0,0,11
DH8 9BF,1,1,1
NE13 6BY,2,2,0
NE65 8AQ,0,0,14
NE20 9AR,0,0,14
NE63 0FD,2,2,31
NE20 0FL,1,1,6
NE24 4UG,0,0,16
NE46 4SJ,0,0,3
NE49 9EQ,0,0,7
NE46 3EU,0,0,39
NE47 9HZ,0,0,8
NE47 7JS,0,0,3
NE20 0FR,0,0,3
NE25 0FA,0,0,4
NE24 5TW,26,26,0
NE64 6UU,0,0,2
NE61 2GQ,0,0,5
NE61 5HD,0,0,19
NE20 0RD,0,0,3
NE67 5EL,0,0,10
NE23 1AN,0,0,10
DH8 9JB,0,0,9
NE19 1HG,0,0,1
NE43 7SL,0,0,2
NE47 7BH,0,0,2
NE66 3XS,1,1,2
NE15 0AB,0,0,7
NE20 0FD,0,0,0
NE19 1LF,0,0,3
NE46 4PD,0,0,1
NE25 0PR,3,3,0
NE45 5QU,0,0,1
NE47 0AH,2,2,2
NE68 7SU,2,2,3
NE49 0JD,0,0,1
NE41 8AU,0,0,4
NE63 9GW,0,0,6
NE63 8AY,2,2,0
NE25 0LP,0,0,6
NE66 3FF,0,0,4
NE24 5EX,0,0,35
NE23 2UB,0,0,16
TD12 4XH,0,0,10
NE65 9JS,0,0,30
NE42 5JS,0,0,6
NE61 6GA,0,0,1
NE69 7BY,4,4,6
NE23 6LN,0,0,18
NE65 0AE,2,2,15
NE42 5BZ,0,0,1
NE65 9RW,0,0,2
NE24 5HD,0,0,20
NE23 2DA,0,0,16
CA8 7NW,0,0,12
NE65 9FJ,0,0,0
NE25 0GN,0,0,0
NE24 1PF,0,0,33
NE42 6EZ,0,0,51
NE23 8BP,0,0,3
TD15 1BX,3,4,26
NE66 2LL,0,0,2
TD15 1FH,0,0,10
NE48 2DQ,0,0,2
NE71 6DX,0,0,23
NE24 4LD,0,0,11
NE63 8AX,10,10,0
NE24 1JP,0,0,2
NE61 5DQ,0,0,5
TD15 1PQ,0,0,13
TD15 1NY,0,0,37
TD15 1NR,0,0,18
TD15 1SW,0,0,45
TD15 1PZ,0,0,28
NE24 2SB,0,0,14
NE24 5RL,0,0,21
TD15 1HG,0,0,9
NE41 8AX,1,1,24
